full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,outliner,new_frequency,route
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 02-784, Warszawa, Herbsta, 31",52.15128707885742,21.026817321777344,120.0,BWC,02-784,Warszawa,Herbsta,31.0,1.0,150107_200102,1 i 3 piątek,2 razy w miesiącu,"1, 3",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pt,1Pt_B_150107_200102,1.0,1Cz_B_150107_200102,1
"Poland, 05-500 , Piaseczno, Syrenki, 6",52.084068298339844,21.02136993408203,60.0,BWC,05-500 ,Piaseczno,Syrenki,6.0,1.0,150107_200102,1 czwartek,1 raz w miesiącu,1,Cz,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Cz,1Cz_B_150107_200102,1.0,1Cz_B_150107_200102,1
"Poland, 05-500, Łoziska, Fabryczna, 19",52.07838439941406,20.998157501220703,60.0,BWC,05-500,Łoziska,Fabryczna,19.0,1.0,150107_200102,1 i 3 czwartek,2 razy w miesiącu,"1, 3",Cz,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Cz,1Cz_B_150107_200102,1.0,1Cz_B_150107_200102,1
"Poland, 05-540, Zalesie Górne, Pionierów, 25",52.02733612060547,21.03325080871582,120.0,BWB,05-540,Zalesie Górne,Pionierów,25.0,1.0,150107_200102,1 i 3 czwartek,2 razy w miesiącu,"1, 3",Cz,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Cz,1Cz_B_150107_200102,1.0,1Cz_B_150107_200102,1
"Poland, 05-504, Złotokłos, Andrzeja Boboli, 27",52.00283432006836,20.90229606628418,550.0,BWA,05-504,Złotokłos,Andrzeja Boboli,27.0,1.0,150107_200102,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1Cz,1Cz_B_150107_200102,1.0,1Cz_B_150107_200102,1
"Poland, 05-552, Stefanowo, Ułanów, 21",52.05400848388672,20.886199951171875,550.0,BWB,05-552,Stefanowo,Ułanów,21.0,1.0,150107_200102,1 i 3 piątek,2 razy w miesiącu,"1, 3",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pt,1Pt_B_150107_200102,1.0,1Cz_B_150107_200102,1
"Poland, 05-830, Stara Wieś, Grodziska, 13",52.08238983154297,20.791040420532227,60.0,BRB,05-830,Stara Wieś,Grodziska,13.0,1.0,150107_200102,1 i 3 piątek,2 razy w miesiącu,"1, 3",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pt,1Pt_B_150107_200102,1.0,1Cz_B_150107_200102,1
"Poland, 05-090, Raszyn, Krótka, 30",52.15483474731445,20.92026138305664,60.0,BWC,05-090,Raszyn,Krótka,30.0,1.0,150107_200102,1 piątek,1 raz w miesiącu,1,Pt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pt,1Pt_B_150107_200102,1.0,1Cz_B_150107_200102,1
"Poland, 05-090, Raszyn, Poniatowskiego, 16",52.15469741821289,20.927017211914062,60.0,PW,05-090,Raszyn,Poniatowskiego,16.0,1.0,150107_200102,1 piątek,1 raz w miesiącu,1,Pt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pt,1Pt_P_150107_200102,1.0,1Cz_B_150107_200102,1
"Poland, , Rybie, Spokojna, 26",52.15547561645508,20.937562942504883,60.0,BWC,,Rybie,Spokojna,26.0,1.0,150107_200102,1 piątek,1 raz w miesiącu,1,Pt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pt,1Pt_B_150107_200102,1.0,1Cz_B_150107_200102,1
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
